seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,262.095023,-0.520000,2.292515,44.941503,289.505022,51.457031,124.662074,6.250000,-93.169192,0.480000,2025-03-13T21:28:49.749-05:00,-0.335889,-0.946851,0.113299,2025-03-13T21:28:49.737-05:00,-0.664098,0.140898,0.786688,2025-03-13T21:28:49.743-05:00
1.000000,259.259216,1.170000,15.364162,44.941285,286.669216,208.828125,14.000000,16.000000,-93.169620,4.920000,2025-03-13T21:28:50.999-05:00,-0.291180,-0.959897,0.058975,2025-03-13T21:28:50.731-05:00,-0.364008,0.066431,0.192597,2025-03-13T21:28:50.728-05:00
2.000000,255.632629,1.060000,13.073898,44.941322,283.042629,180.705307,3.535534,3.000000,-93.169600,4.920000,2025-03-13T21:28:51.999-05:00,-0.244402,-0.952920,0.002420,2025-03-13T21:28:51.726-05:00,-0.046545,0.180651,-0.276452,2025-03-13T21:28:51.732-05:00
3.000000,255.382385,1.080000,12.621012,44.941277,282.792385,180.705307,3.535534,3.000000,-93.169587,5.240000,2025-03-13T21:28:52.999-05:00,-0.195240,-0.994306,0.019783,2025-03-13T21:28:52.731-05:00,0.528203,-0.264782,-0.268028,2025-03-13T21:28:52.727-05:00
4.000000,254.954468,1.030000,11.259836,44.941223,282.364468,182.630707,3.535534,3.000000,-93.169581,5.530000,2025-03-13T21:28:53.999-05:00,-0.175024,-0.988364,0.036010,2025-03-13T21:28:53.726-05:00,0.571643,-0.198231,-0.323985,2025-03-13T21:28:53.732-05:00
5.000000,254.057129,0.540000,4.849106,44.941167,281.467129,182.630707,3.535534,3.000000,-93.169580,7.320000,2025-03-13T21:28:54.999-05:00,-0.200812,-0.981152,0.009845,2025-03-13T21:28:54.730-05:00,0.349272,-0.105095,-0.568016,2025-03-13T21:28:54.726-05:00
6.000000,253.856506,1.520000,13.512225,44.941106,281.266506,179.642822,3.535534,3.000000,-93.169582,7.320000,2025-03-13T21:28:56.000-05:00,-0.204458,-0.975858,0.025358,2025-03-13T21:28:55.725-05:00,0.264195,-0.064812,-0.480298,2025-03-13T21:28:55.731-05:00
7.000000,253.645508,1.610000,8.254856,44.941029,281.055508,179.642822,3.535534,3.000000,-93.169582,7.320000,2025-03-13T21:28:57.000-05:00,-0.252738,-0.961697,0.020650,2025-03-13T21:28:56.730-05:00,-0.218046,0.076828,-0.539486,2025-03-13T21:28:56.726-05:00
8.000000,253.775940,1.900000,14.555147,44.940954,281.185940,179.642822,3.535534,3.000000,-93.169590,8.450000,2025-03-13T21:28:58.000-05:00,-0.265239,-0.962170,0.021607,2025-03-13T21:28:57.724-05:00,-0.264304,0.073285,-0.472012,2025-03-13T21:28:57.730-05:00
9.000000,254.518799,1.410000,7.239525,44.940875,281.928799,179.642822,3.535534,3.000000,-93.169584,8.800000,2025-03-13T21:28:59.000-05:00,-0.272492,-0.960779,0.005703,2025-03-13T21:28:58.729-05:00,-0.345740,0.067957,-0.586412,2025-03-13T21:28:58.725-05:00
