seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,263.352120,2.437786,60.591594,44.934315,290.762119,293.537987,3.144343,3.000000,-93.166966,3.240642,2025-03-20T19:27:53.000-05:00,-0.162887,-0.975113,-0.225758,2025-03-20T19:27:52.984-05:00,0.725455,-0.058533,-1.592440,2025-03-20T19:27:52.994-05:00
1.000000,263.352472,2.359604,49.897556,44.934348,290.762472,312.957115,3.094428,3.000000,-93.166996,3.831699,2025-03-20T19:27:54.000-05:00,-0.142170,-0.994830,-0.136151,2025-03-20T19:27:53.969-05:00,0.870453,-0.224508,-1.158575,2025-03-20T19:27:53.969-05:00
2.000000,263.214699,2.210969,35.639152,44.934401,290.624699,340.535671,3.140802,3.000000,-93.167005,5.017540,2025-03-20T19:27:55.000-05:00,-0.111818,-1.006376,0.051079,2025-03-20T19:27:54.964-05:00,1.044224,-0.298647,0.292071,2025-03-20T19:27:54.964-05:00
3.000000,263.191424,2.108586,26.680516,44.934464,290.601424,0.150168,3.088689,3.000000,-93.166993,6.401404,2025-03-20T19:27:56.000-05:00,-0.149519,-0.994465,0.047925,2025-03-20T19:27:55.968-05:00,0.674940,-0.181352,0.323769,2025-03-20T19:27:55.968-05:00
4.000000,263.124833,2.000278,20.847056,44.934540,290.534833,0.150168,3.113895,3.000000,-93.166988,7.773787,2025-03-20T19:27:57.000-05:00,-0.142667,-0.994434,0.027598,2025-03-20T19:27:56.973-05:00,0.632282,-0.160738,0.231527,2025-03-20T19:27:56.973-05:00
5.000000,263.207446,1.932180,17.325735,44.934625,290.617446,359.502319,2.920282,3.000000,-93.166989,9.036189,2025-03-20T19:27:58.000-05:00,-0.164229,-0.990679,0.004748,2025-03-20T19:27:57.968-05:00,0.363144,-0.115294,0.128651,2025-03-20T19:27:57.968-05:00
6.000000,263.408189,1.868153,14.916320,44.934719,290.818189,359.502319,3.136668,3.000000,-93.166989,10.119846,2025-03-20T19:27:59.000-05:00,-0.190026,-0.983525,-0.011859,2025-03-20T19:27:58.973-05:00,0.067159,-0.029123,0.037170,2025-03-20T19:27:58.973-05:00
7.000000,263.540183,1.822324,13.293242,44.934821,290.950183,0.000000,3.362383,3.000000,-93.166988,11.044465,2025-03-20T19:28:00.000-05:00,-0.186780,-0.988742,-0.023661,2025-03-20T19:27:59.967-05:00,0.066010,-0.076082,-0.052738,2025-03-20T19:27:59.967-05:00
8.000000,263.554389,1.792318,12.457604,44.934927,290.964388,0.000000,3.037957,3.000000,-93.166985,11.656854,2025-03-20T19:28:01.000-05:00,-0.188560,-0.985022,-0.002470,2025-03-20T19:28:00.972-05:00,0.020082,-0.031862,0.092368,2025-03-20T19:28:00.972-05:00
9.000000,263.371580,1.771651,11.695329,44.935039,290.781580,0.000000,2.775481,3.000000,-93.166979,12.274392,2025-03-20T19:28:02.000-05:00,-0.189417,-0.981480,0.000871,2025-03-20T19:28:01.967-05:00,-0.026000,0.007295,0.164953,2025-03-20T19:28:01.967-05:00
