seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,251.901421,0.430284,13.388469,44.940056,279.311421,115.973284,2.694459,3.000000,-93.177102,5.604791,2025-03-20T19:41:02.000-05:00,-0.243386,-0.972161,0.219101,2025-03-20T19:41:01.115-05:00,-0.303050,0.043656,1.856239,2025-03-20T19:41:01.115-05:00
1.000000,251.929041,0.367400,9.045991,44.940052,279.339041,97.292989,2.668032,3.000000,-93.177025,6.030405,2025-03-20T19:41:03.000-05:00,-0.196349,-0.974820,0.097605,2025-03-20T19:41:02.100-05:00,0.063023,0.042015,0.672198,2025-03-20T19:41:02.100-05:00
2.000000,251.961903,0.349235,7.258083,44.940051,279.371903,90.000000,2.634095,3.000000,-93.176936,6.893057,2025-03-20T19:41:04.000-05:00,-0.146272,-0.985522,0.062345,2025-03-20T19:41:03.104-05:00,0.522600,-0.068366,0.285973,2025-03-20T19:41:03.104-05:00
3.000000,251.991992,0.347944,7.257610,44.940052,279.401992,90.305840,2.587408,3.000000,-93.176837,7.543399,2025-03-20T19:41:05.000-05:00,-0.147223,-0.999802,0.058146,2025-03-20T19:41:04.099-05:00,0.469169,-0.190050,0.185238,2025-03-20T19:41:04.099-05:00
4.000000,252.144035,0.355885,7.257551,44.940053,279.554035,90.305840,2.525451,3.000000,-93.176723,8.744911,2025-03-20T19:41:06.000-05:00,-0.140051,-0.996216,0.046388,2025-03-20T19:41:05.104-05:00,0.483690,-0.151481,0.111540,2025-03-20T19:41:05.104-05:00
5.000000,252.226980,0.343208,7.258431,44.940055,279.636979,90.000000,2.674228,3.000000,-93.176598,9.780139,2025-03-20T19:41:07.000-05:00,-0.165581,-0.988656,0.036440,2025-03-20T19:41:06.099-05:00,0.212167,-0.070426,0.013637,2025-03-20T19:41:06.099-05:00
6.000000,252.433723,0.338623,7.258307,44.940056,279.843723,90.000000,2.415625,3.000000,-93.176465,10.413844,2025-03-20T19:41:08.000-05:00,-0.198777,-0.979765,-0.000303,2025-03-20T19:41:07.104-05:00,-0.176000,0.041085,-0.242264,2025-03-20T19:41:07.104-05:00
7.000000,252.431768,0.318822,7.258846,44.940059,279.841768,90.000000,2.417470,3.000000,-93.176332,10.506089,2025-03-20T19:41:09.000-05:00,-0.191965,-0.975780,0.009663,2025-03-20T19:41:08.098-05:00,-0.112373,0.072181,-0.157542,2025-03-20T19:41:08.098-05:00
8.000000,252.638510,0.323691,7.258778,44.940061,280.048509,90.000000,2.231570,3.000000,-93.176190,11.079346,2025-03-20T19:41:10.000-05:00,-0.197230,-0.983745,0.011030,2025-03-20T19:41:09.103-05:00,-0.139600,-0.018803,-0.177089,2025-03-20T19:41:09.103-05:00
9.000000,252.749058,0.329663,7.258561,44.940063,280.159058,90.211685,2.440946,3.000000,-93.176042,11.438856,2025-03-20T19:41:11.000-05:00,-0.211326,-0.974734,-0.010370,2025-03-20T19:41:10.098-05:00,-0.301072,0.087277,-0.353650,2025-03-20T19:41:10.098-05:00
10.000000,252.829900,0.315034,7.258930,44.940062,280.239899,90.211685,2.237079,3.000000,-93.175895,11.635316,2025-03-20T19:41:11.999-05:00,-0.215185,-0.976799,0.009609,2025-03-20T19:41:11.103-05:00,-0.320793,0.059907,-0.201527,2025-03-20T19:41:11.103-05:00
11.000000,253.191837,0.320030,7.258728,44.940061,280.601837,90.211685,2.126790,3.000000,-93.175748,11.706737,2025-03-20T19:41:12.999-05:00,-0.242917,-0.963679,-0.004201,2025-03-20T19:41:12.097-05:00,-0.561288,0.184176,-0.291141,2025-03-20T19:41:12.097-05:00
12.000000,253.553507,0.326885,7.258059,44.940062,280.963507,90.211685,2.128062,3.000000,-93.175603,11.411259,2025-03-20T19:41:14.000-05:00,-0.246521,-0.966923,0.003111,2025-03-20T19:41:13.102-05:00,-0.598974,0.153584,-0.226373,2025-03-20T19:41:13.102-05:00
13.000000,253.783270,0.318170,7.258640,44.940063,281.193269,90.211685,2.626440,3.000000,-93.175460,11.402438,2025-03-20T19:41:14.999-05:00,-0.240113,-0.961297,0.005798,2025-03-20T19:41:14.097-05:00,-0.456993,0.187422,-0.185076,2025-03-20T19:41:14.097-05:00
14.000000,254.071407,0.328067,7.258332,44.940063,281.481407,90.211685,2.505951,3.000000,-93.175318,11.205397,2025-03-20T19:41:15.999-05:00,-0.215820,-0.985043,0.015843,2025-03-20T19:41:15.102-05:00,-0.172863,-0.059522,-0.065944,2025-03-20T19:41:15.102-05:00
15.000000,254.256525,0.321855,7.258557,44.940062,281.666525,90.211685,2.273760,3.000000,-93.175170,11.680315,2025-03-20T19:41:17.000-05:00,-0.210351,-0.971168,0.014664,2025-03-20T19:41:16.097-05:00,-0.070193,0.093958,-0.050707,2025-03-20T19:41:16.097-05:00
16.000000,254.444301,0.319446,7.258662,44.940062,281.854301,90.292648,3.021257,3.000000,-93.175024,11.498819,2025-03-20T19:41:18.000-05:00,-0.244819,-0.966986,0.007479,2025-03-20T19:41:17.101-05:00,-0.389704,0.089852,-0.134229,2025-03-20T19:41:17.101-05:00
17.000000,254.655216,0.326277,7.258155,44.940062,282.065216,90.292648,2.545156,3.000000,-93.174877,11.393288,2025-03-20T19:41:19.000-05:00,-0.264420,-0.953456,0.009630,2025-03-20T19:41:18.096-05:00,-0.552835,0.247540,-0.159479,2025-03-20T19:41:18.096-05:00
18.000000,254.669615,0.330819,7.257833,44.940063,282.079615,90.292648,2.585547,3.000000,-93.174738,11.013772,2025-03-20T19:41:20.000-05:00,-0.286928,-0.963813,-0.009018,2025-03-20T19:41:19.101-05:00,-0.738040,0.127015,-0.280779,2025-03-20T19:41:19.101-05:00
19.000000,254.812180,0.360584,7.257898,44.940065,282.222180,90.998797,2.319455,3.000000,-93.174609,10.050041,2025-03-20T19:41:21.000-05:00,-0.378353,-0.921928,-0.059343,2025-03-20T19:41:20.096-05:00,-1.560057,0.532382,-0.675261,2025-03-20T19:41:20.096-05:00
20.000000,254.798239,0.382900,7.352041,44.940066,282.208239,91.193475,2.180547,3.000000,-93.174498,8.486362,2025-03-20T19:41:22.000-05:00,-0.389263,-0.933695,-0.037899,2025-03-20T19:41:21.100-05:00,-1.591462,0.386095,-0.511971,2025-03-20T19:41:21.100-05:00
21.000000,255.120421,0.361824,7.896859,44.940063,282.530421,90.769832,2.107025,3.000000,-93.174402,7.137584,2025-03-20T19:41:23.000-05:00,-0.403207,-0.924684,-0.029803,2025-03-20T19:41:22.095-05:00,-1.638297,0.461168,-0.416568,2025-03-20T19:41:22.095-05:00
22.000000,255.199038,0.367093,9.302897,44.940063,282.609038,89.755072,2.068124,3.000000,-93.174332,5.617246,2025-03-20T19:41:24.000-05:00,-0.328952,-0.941421,-0.011080,2025-03-20T19:41:23.100-05:00,-0.863206,0.290884,-0.207972,2025-03-20T19:41:23.100-05:00
23.000000,255.293798,0.303306,7.254590,44.940063,282.703798,90.142532,2.051093,3.000000,-93.174269,5.075758,2025-03-20T19:41:24.999-05:00,-0.284938,-0.953783,-0.004731,2025-03-20T19:41:24.095-05:00,-0.230401,0.102231,-0.059502,2025-03-20T19:41:24.095-05:00
24.000000,255.322183,0.306201,7.258917,44.940063,282.732182,90.142532,2.040874,3.000000,-93.174209,4.705686,2025-03-20T19:41:25.999-05:00,-0.292119,-0.956689,0.043785,2025-03-20T19:41:25.099-05:00,-0.219256,0.063186,0.366534,2025-03-20T19:41:25.099-05:00
25.000000,255.230151,0.307597,7.258970,44.940067,282.640151,90.000000,2.092085,3.000000,-93.174150,4.735606,2025-03-20T19:41:26.999-05:00,-0.190405,-0.979248,0.039375,2025-03-20T19:41:26.104-05:00,0.799035,-0.173037,0.234374,2025-03-20T19:41:26.104-05:00
26.000000,255.369051,0.279766,7.247181,44.940073,282.779051,90.000000,2.078930,3.000000,-93.174079,5.616696,2025-03-20T19:41:27.999-05:00,-0.097808,-0.999643,0.045447,2025-03-20T19:41:27.099-05:00,1.583066,-0.328553,0.362011,2025-03-20T19:41:27.099-05:00
27.000000,255.556431,0.353030,7.887592,44.940080,282.966431,90.000000,2.069064,3.000000,-93.173983,7.316143,2025-03-20T19:41:29.000-05:00,-0.097715,-1.004127,0.017127,2025-03-20T19:41:28.104-05:00,1.590069,-0.373315,0.136538,2025-03-20T19:41:28.104-05:00
28.000000,255.573744,0.334438,7.258523,44.940085,282.983743,90.000000,2.056298,3.000000,-93.173872,8.580614,2025-03-20T19:41:30.000-05:00,-0.102781,-1.005594,-0.058288,2025-03-20T19:41:29.099-05:00,1.532322,-0.394561,-0.475463,2025-03-20T19:41:29.099-05:00
29.000000,255.600037,0.330731,7.258809,44.940083,283.010037,90.000000,2.039665,3.000000,-93.173743,9.964166,2025-03-20T19:41:31.000-05:00,-0.118123,-1.001074,-0.041295,2025-03-20T19:41:30.103-05:00,1.306538,-0.324184,-0.283645,2025-03-20T19:41:30.103-05:00
30.000000,255.517707,0.332476,7.258858,44.940076,282.927707,90.000000,2.024244,3.000000,-93.173605,10.942020,2025-03-20T19:41:32.000-05:00,-0.191427,-0.972320,0.008622,2025-03-20T19:41:31.098-05:00,0.566345,-0.043111,0.110519,2025-03-20T19:41:31.098-05:00
31.000000,255.386485,0.311775,7.258970,44.940072,282.796485,90.000000,2.014061,3.000000,-93.173462,11.446857,2025-03-20T19:41:33.000-05:00,-0.208764,-0.972273,0.053976,2025-03-20T19:41:32.103-05:00,0.378472,-0.027242,0.400930,2025-03-20T19:41:32.103-05:00
32.000000,255.271069,0.333585,7.258734,44.940070,282.681069,90.000000,2.204954,3.000000,-93.173311,11.752590,2025-03-20T19:41:34.000-05:00,-0.232020,-0.976970,0.034069,2025-03-20T19:41:33.098-05:00,0.080949,-0.062243,0.194954,2025-03-20T19:41:33.098-05:00
33.000000,255.282962,0.301222,7.258958,44.940068,282.692962,90.000000,2.107131,3.000000,-93.173153,12.121636,2025-03-20T19:41:35.000-05:00,-0.234531,-0.972582,0.017008,2025-03-20T19:41:34.102-05:00,-0.007143,-0.000636,0.118013,2025-03-20T19:41:34.102-05:00
34.000000,255.223597,0.291186,7.258880,44.940066,282.633597,90.000000,2.055390,3.000000,-93.172994,12.382973,2025-03-20T19:41:36.000-05:00,-0.241223,-0.961094,0.014326,2025-03-20T19:41:35.097-05:00,-0.084448,0.110691,0.042678,2025-03-20T19:41:35.097-05:00
35.000000,255.294926,0.301092,7.258957,44.940066,282.704925,90.000000,2.038182,3.000000,-93.172833,12.458725,2025-03-20T19:41:37.000-05:00,-0.258750,-0.973820,0.012493,2025-03-20T19:41:36.102-05:00,-0.236333,-0.021924,-0.033506,2025-03-20T19:41:36.102-05:00
36.000000,255.288299,0.299149,7.258920,44.940064,282.698299,90.098976,2.019323,3.000000,-93.172672,12.468948,2025-03-20T19:41:38.000-05:00,-0.256310,-0.957674,0.009241,2025-03-20T19:41:37.097-05:00,-0.294526,0.169473,-0.038262,2025-03-20T19:41:37.097-05:00
37.000000,255.361621,0.299149,7.258862,44.940064,282.771620,90.098976,2.009878,3.000000,-93.172514,12.383976,2025-03-20T19:41:39.000-05:00,-0.264736,-0.958159,0.007106,2025-03-20T19:41:38.102-05:00,-0.316975,0.119683,-0.043282,2025-03-20T19:41:38.102-05:00
38.000000,255.427890,0.297380,7.258809,44.940064,282.837890,90.098976,2.405989,3.000000,-93.172353,12.623996,2025-03-20T19:41:40.000-05:00,-0.252181,-0.969435,0.012614,2025-03-20T19:41:39.096-05:00,-0.220998,0.047724,0.024265,2025-03-20T19:41:39.096-05:00
39.000000,255.489328,0.301392,7.258897,44.940063,282.899328,90.098976,2.741870,3.000000,-93.172195,12.510951,2025-03-20T19:41:41.000-05:00,-0.253021,-0.964272,0.004476,2025-03-20T19:41:40.101-05:00,-0.195886,0.080680,-0.071251,2025-03-20T19:41:40.101-05:00
40.000000,255.504485,0.294795,7.258613,44.940063,282.914485,90.147057,2.984906,3.000000,-93.172037,12.386756,2025-03-20T19:41:42.000-05:00,-0.263688,-0.966779,-0.028467,2025-03-20T19:41:41.096-05:00,-0.296554,0.060704,-0.340015,2025-03-20T19:41:41.096-05:00
41.000000,255.543798,0.298206,7.258773,44.940062,282.953798,90.147057,3.194370,3.000000,-93.171879,12.399728,2025-03-20T19:41:43.000-05:00,-0.242493,-0.970324,-0.000213,2025-03-20T19:41:42.101-05:00,-0.077753,0.014108,-0.084112,2025-03-20T19:41:42.101-05:00
42.000000,255.584574,0.283739,7.258079,44.940060,282.994574,90.147057,2.611701,3.000000,-93.171719,12.612366,2025-03-20T19:41:44.000-05:00,-0.248518,-0.962433,0.020896,2025-03-20T19:41:43.095-05:00,-0.115246,0.087506,0.051879,2025-03-20T19:41:43.095-05:00
43.000000,255.761230,0.295281,7.258775,44.940058,283.171230,90.147057,2.312579,3.000000,-93.171561,12.555182,2025-03-20T19:41:45.000-05:00,-0.248594,-0.963266,0.015311,2025-03-20T19:41:44.100-05:00,-0.124020,0.094066,0.063499,2025-03-20T19:41:44.100-05:00
44.000000,255.889354,0.292382,7.258740,44.940059,283.299354,90.147057,2.159957,3.000000,-93.171402,12.432748,2025-03-20T19:41:46.000-05:00,-0.258361,-0.981883,0.013713,2025-03-20T19:41:45.095-05:00,-0.220343,-0.113547,0.040284,2025-03-20T19:41:45.095-05:00
45.000000,256.102926,0.292605,7.258774,44.940060,283.512926,90.141258,2.330272,3.000000,-93.171240,12.727355,2025-03-20T19:41:47.000-05:00,-0.238816,-0.959251,-0.005126,2025-03-20T19:41:46.100-05:00,-0.070741,0.134293,-0.145478,2025-03-20T19:41:46.100-05:00
46.000000,256.386589,0.305447,7.258967,44.940060,283.796589,90.141258,2.408014,3.000000,-93.171080,12.652832,2025-03-20T19:41:48.000-05:00,-0.242276,-0.970923,0.009003,2025-03-20T19:41:47.095-05:00,-0.074291,0.005694,0.019890,2025-03-20T19:41:47.095-05:00
47.000000,256.480020,0.306845,7.258973,44.940062,283.890020,90.141258,2.324503,3.000000,-93.170920,12.581197,2025-03-20T19:41:49.000-05:00,-0.256632,-0.967801,-0.000965,2025-03-20T19:41:48.099-05:00,-0.226837,0.038897,-0.030732,2025-03-20T19:41:48.099-05:00
48.000000,256.624120,0.301735,7.258911,44.940061,284.034120,90.141258,2.165054,3.000000,-93.170763,12.383462,2025-03-20T19:41:50.000-05:00,-0.266738,-0.959796,-0.005820,2025-03-20T19:41:49.104-05:00,-0.303720,0.132179,-0.066749,2025-03-20T19:41:49.104-05:00
