seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,262.793853,0.662698,7.685838,44.934343,290.203852,46.713003,2.016669,3.000000,-93.166997,6.983446,2025-03-20T19:08:16.999-05:00,-0.327064,-0.942971,0.246837,2025-03-20T19:08:16.978-05:00,-0.541323,0.154943,1.650312,2025-03-20T19:08:16.983-05:00
1.000000,262.937491,0.678601,8.141597,44.934407,290.347491,23.341748,2.011810,3.000000,-93.166975,6.745614,2025-03-20T19:08:17.999-05:00,-0.180906,-0.982265,0.133984,2025-03-20T19:08:17.972-05:00,0.675214,-0.161623,0.614571,2025-03-20T19:08:17.967-05:00
2.000000,262.195653,0.711023,8.046405,44.934475,289.605653,5.531293,2.008522,3.000000,-93.166980,7.140497,2025-03-20T19:08:18.999-05:00,-0.163375,-0.991745,0.046740,2025-03-20T19:08:18.967-05:00,0.751906,-0.227019,-0.154725,2025-03-20T19:08:18.972-05:00
3.000000,262.688867,0.686307,7.258905,44.934553,290.098866,0.150169,2.006274,3.000000,-93.166991,8.263071,2025-03-20T19:08:19.999-05:00,-0.180512,-0.991797,0.022588,2025-03-20T19:08:19.972-05:00,0.544842,-0.220263,-0.417154,2025-03-20T19:08:19.967-05:00
4.000000,262.733559,0.668327,7.258705,44.934642,290.143559,359.502319,2.004301,3.000000,-93.166989,9.346515,2025-03-20T19:08:20.999-05:00,-0.188465,-0.981832,0.027823,2025-03-20T19:08:20.967-05:00,0.457225,-0.118205,-0.443963,2025-03-20T19:08:20.972-05:00
5.000000,262.738503,0.663299,7.258961,44.934736,290.148503,359.502319,2.257862,3.000000,-93.166989,10.073346,2025-03-20T19:08:21.999-05:00,-0.189296,-0.983510,0.046461,2025-03-20T19:08:21.971-05:00,0.426793,-0.147088,-0.345885,2025-03-20T19:08:21.966-05:00
6.000000,262.842785,0.678799,7.258368,44.934835,290.252784,0.000000,2.154127,3.000000,-93.166990,10.726144,2025-03-20T19:08:22.999-05:00,-0.188472,-0.983711,0.047037,2025-03-20T19:08:22.966-05:00,0.403713,-0.136710,-0.366070,2025-03-20T19:08:22.971-05:00
7.000000,262.538751,0.669893,7.258287,44.934943,289.948750,0.000000,3.202510,3.000000,-93.166986,11.601410,2025-03-20T19:08:23.999-05:00,-0.195625,-0.984841,0.039480,2025-03-20T19:08:23.971-05:00,0.325186,-0.144859,-0.437472,2025-03-20T19:08:23.966-05:00
8.000000,262.846376,0.656364,7.258964,44.935048,290.256376,0.000000,2.675276,3.000000,-93.166990,11.776129,2025-03-20T19:08:24.999-05:00,-0.194628,-0.971518,0.036785,2025-03-20T19:08:24.966-05:00,0.278527,-0.001233,-0.433489,2025-03-20T19:08:24.971-05:00
9.000000,262.547360,0.795354,7.258892,44.935148,289.957360,0.000000,2.463040,3.000000,-93.166989,11.477828,2025-03-20T19:08:25.999-05:00,-0.200800,-0.983428,0.035698,2025-03-20T19:08:25.971-05:00,0.258079,-0.131656,-0.459807,2025-03-20T19:08:25.966-05:00
10.000000,262.441625,0.732379,7.258852,44.935278,289.851625,0.000000,3.421869,3.000000,-93.166947,12.982801,2025-03-20T19:08:26.999-05:00,-0.207452,-0.983048,0.055988,2025-03-20T19:08:26.965-05:00,0.090153,-0.106516,-0.378163,2025-03-20T19:08:26.970-05:00
11.000000,263.515015,1.740249,9.686476,44.935426,290.925015,0.000000,2.825656,3.000000,-93.166990,14.543385,2025-03-20T19:08:27.999-05:00,-0.209741,-0.977594,0.044036,2025-03-20T19:08:27.970-05:00,0.060143,-0.047667,-0.423896,2025-03-20T19:08:27.965-05:00
12.000000,263.606704,1.709602,9.689943,44.935552,291.016704,0.000000,2.915502,3.000000,-93.166989,14.292284,2025-03-20T19:08:28.999-05:00,-0.218617,-0.968598,0.052766,2025-03-20T19:08:28.965-05:00,-0.027786,0.041486,-0.328702,2025-03-20T19:08:28.970-05:00
13.000000,263.575104,1.711434,9.367413,44.935688,290.985104,0.000000,3.248982,3.000000,-93.166989,14.803882,2025-03-20T19:08:29.999-05:00,-0.217020,-0.979587,0.043633,2025-03-20T19:08:29.970-05:00,-0.043045,-0.060954,-0.394333,2025-03-20T19:08:29.965-05:00
14.000000,263.712463,1.709273,9.030311,44.935828,291.122463,0.230498,2.778161,3.000000,-93.166990,15.337178,2025-03-20T19:08:30.999-05:00,-0.230866,-0.971801,0.032792,2025-03-20T19:08:30.964-05:00,-0.216128,0.036000,-0.347737,2025-03-20T19:08:30.969-05:00
15.000000,263.801435,1.689351,8.709870,44.935971,291.211435,0.230498,2.344471,3.000000,-93.166992,15.715941,2025-03-20T19:08:31.999-05:00,-0.220705,-0.966425,0.026707,2025-03-20T19:08:31.969-05:00,-0.146829,0.098585,-0.328385,2025-03-20T19:08:31.964-05:00
16.000000,263.821160,1.675276,8.462731,44.936117,291.231160,0.230498,3.484812,3.000000,-93.166991,16.040284,2025-03-20T19:08:32.999-05:00,-0.241004,-0.979811,0.000107,2025-03-20T19:08:32.964-05:00,-0.333038,-0.029145,-0.497954,2025-03-20T19:08:32.969-05:00
17.000000,264.086778,1.711438,8.604400,44.936261,291.496777,359.878601,3.266617,3.000000,-93.166996,16.116708,2025-03-20T19:08:33.999-05:00,-0.233298,-0.972628,0.009810,2025-03-20T19:08:33.969-05:00,-0.268083,0.039983,-0.442587,2025-03-20T19:08:33.964-05:00
18.000000,264.279071,1.656607,8.217925,44.936409,291.689071,359.878601,2.538472,3.000000,-93.166997,16.332905,2025-03-20T19:08:34.999-05:00,-0.222352,-0.964252,0.025886,2025-03-20T19:08:34.964-05:00,-0.129193,0.120095,-0.316627,2025-03-20T19:08:34.969-05:00
19.000000,264.568490,1.669451,8.162102,44.936559,291.978490,359.878601,2.225073,3.000000,-93.166994,16.571461,2025-03-20T19:08:35.999-05:00,-0.235674,-0.975712,0.038092,2025-03-20T19:08:35.968-05:00,-0.224196,-0.009043,-0.218626,2025-03-20T19:08:35.963-05:00
20.000000,264.679522,1.663795,7.999377,44.936711,292.089522,0.133631,2.151864,3.000000,-93.166993,16.851099,2025-03-20T19:08:37.000-05:00,-0.234129,-0.977925,0.032598,2025-03-20T19:08:36.963-05:00,-0.220039,-0.015127,-0.201871,2025-03-20T19:08:36.968-05:00
21.000000,264.876526,1.659214,7.839028,44.936865,292.286526,0.133631,2.061969,3.000000,-93.166993,17.148104,2025-03-20T19:08:38.000-05:00,-0.240169,-0.967920,0.008803,2025-03-20T19:08:37.968-05:00,-0.317777,0.087490,-0.308696,2025-03-20T19:08:37.963-05:00
