seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,254.375965,0.977412,180.000000,44.941285,281.785965,109.138036,5.193365,3.415792,-93.174003,0.000000,2025-03-27T21:44:40.000-05:00,-0.206883,-0.978615,0.007668,2025-03-27T21:44:39.922-05:00,0.123153,-0.029460,0.042473,2025-03-27T21:44:39.930-05:00
1.000000,254.375965,0.921562,180.000000,44.941285,281.785965,109.138036,5.153049,3.420060,-93.174003,0.000000,2025-03-27T21:44:41.000-05:00,-0.182742,-0.984379,0.014816,2025-03-27T21:44:40.907-05:00,0.337829,-0.082659,0.129796,2025-03-27T21:44:40.915-05:00
2.000000,254.375965,1.289461,180.000000,44.941285,281.785965,109.138036,5.040157,3.497407,-93.174003,0.000000,2025-03-27T21:44:42.000-05:00,-0.116621,-1.001623,0.019782,2025-03-27T21:44:41.912-05:00,0.941215,-0.239005,0.273736,2025-03-27T21:44:41.910-05:00
3.000000,254.375965,3.752680,180.000000,44.941285,281.785965,109.138036,4.933673,3.486745,-93.174003,0.000000,2025-03-27T21:44:43.000-05:00,-0.104792,-1.002620,-0.016635,2025-03-27T21:44:42.907-05:00,1.084996,-0.259604,0.039910,2025-03-27T21:44:42.914-05:00
4.000000,254.375965,3.916912,180.000000,44.941285,281.785965,109.138036,4.860495,3.537664,-93.174003,0.000000,2025-03-27T21:44:44.000-05:00,-0.120108,-0.997764,-0.014969,2025-03-27T21:44:43.912-05:00,0.935108,-0.211532,0.146400,2025-03-27T21:44:43.909-05:00
5.000000,253.901001,2.721717,69.322650,44.941287,281.311001,86.152853,4.750432,3.580612,-93.173921,3.179469,2025-03-27T21:44:45.000-05:00,-0.125932,-1.000255,-0.024938,2025-03-27T21:44:44.907-05:00,0.816354,-0.217344,0.112941,2025-03-27T21:44:44.914-05:00
6.000000,253.937601,2.712414,53.852256,44.941286,281.347601,87.100964,4.530230,3.572134,-93.173867,4.048433,2025-03-27T21:44:46.000-05:00,-0.139597,-0.990806,-0.027476,2025-03-27T21:44:45.912-05:00,0.647144,-0.136898,0.119097,2025-03-27T21:44:45.909-05:00
7.000000,254.096427,2.713975,43.480685,44.941289,281.506427,87.509251,4.335597,3.418716,-93.173798,5.018529,2025-03-27T21:44:47.000-05:00,-0.143620,-0.990114,-0.061009,2025-03-27T21:44:46.907-05:00,0.539500,-0.110094,-0.062639,2025-03-27T21:44:46.914-05:00
8.000000,254.026515,2.695751,37.333503,44.941292,281.436515,87.142167,4.168769,3.225915,-93.173720,5.844209,2025-03-27T21:44:48.000-05:00,-0.153735,-0.989734,-0.043742,2025-03-27T21:44:47.912-05:00,0.449876,-0.114905,0.111212,2025-03-27T21:44:47.909-05:00
9.000000,254.191711,2.712953,33.443991,44.941294,281.601711,87.813754,4.004677,3.000000,-93.173633,6.567800,2025-03-27T21:44:49.000-05:00,-0.159978,-0.994003,-0.081782,2025-03-27T21:44:48.916-05:00,0.275977,-0.156935,-0.158726,2025-03-27T21:44:48.914-05:00
