seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,255.914687,2.273844,40.425911,44.934275,283.324687,121.859546,2.178105,3.000000,-93.177115,4.542848,2025-03-27T21:29:13.999-05:00,-0.232594,-0.967050,0.108209,2025-03-27T21:29:13.629-05:00,0.112753,0.018783,0.786474,2025-03-27T21:29:13.627-05:00
1.000000,255.931300,2.215924,35.790670,44.934274,283.341300,101.062427,2.152662,3.000000,-93.177044,5.001419,2025-03-27T21:29:14.999-05:00,-0.144390,-0.998469,0.045384,2025-03-27T21:29:14.614-05:00,0.908930,-0.269984,0.153995,2025-03-27T21:29:14.612-05:00
2.000000,255.853957,2.152227,29.726789,44.934277,283.263957,92.319746,2.133579,3.000000,-93.176968,5.848383,2025-03-27T21:29:15.999-05:00,-0.145457,-0.993912,0.039077,2025-03-27T21:29:15.609-05:00,0.775663,-0.197783,0.177713,2025-03-27T21:29:15.617-05:00
3.000000,255.824861,2.077470,24.055554,44.934279,283.234861,90.275871,2.118737,3.000000,-93.176878,6.914565,2025-03-27T21:29:16.999-05:00,-0.150459,-0.989690,-0.016947,2025-03-27T21:29:16.614-05:00,0.678649,-0.135903,-0.381213,2025-03-27T21:29:16.611-05:00
4.000000,255.778418,2.022150,21.466020,44.934283,283.188418,90.358215,2.129768,3.000000,-93.176781,7.585770,2025-03-27T21:29:17.999-05:00,-0.152093,-0.987227,-0.053793,2025-03-27T21:29:17.609-05:00,0.664001,-0.122071,-0.698015,2025-03-27T21:29:17.616-05:00
5.000000,255.753567,1.951646,18.884999,44.934289,283.163567,90.358215,2.152708,3.000000,-93.176674,8.347348,2025-03-27T21:29:18.999-05:00,-0.159210,-0.992356,-0.023835,2025-03-27T21:29:18.614-05:00,0.568856,-0.154606,-0.403291,2025-03-27T21:29:18.611-05:00
6.000000,255.803364,1.909072,17.039738,44.934287,283.213364,90.358215,2.106290,3.000000,-93.176558,9.060097,2025-03-27T21:29:19.999-05:00,-0.181328,-0.979188,-0.004526,2025-03-27T21:29:19.608-05:00,0.322661,-0.031837,-0.248611,2025-03-27T21:29:19.616-05:00
7.000000,255.696391,1.881994,15.991187,44.934286,283.106391,90.358215,2.068282,3.000000,-93.176437,9.528520,2025-03-27T21:29:20.999-05:00,-0.174986,-0.991113,-0.023195,2025-03-27T21:29:20.613-05:00,0.349353,-0.127115,-0.385684,2025-03-27T21:29:20.611-05:00
8.000000,255.698137,1.853041,14.855863,44.934287,283.108137,90.358215,2.042657,3.000000,-93.176308,10.100516,2025-03-27T21:29:21.999-05:00,-0.179178,-0.982258,-0.027667,2025-03-27T21:29:21.608-05:00,0.284238,-0.048712,-0.453808,2025-03-27T21:29:21.615-05:00
9.000000,255.883244,1.832007,13.972580,44.934283,283.293243,90.358215,2.025589,3.000000,-93.176173,10.610690,2025-03-27T21:29:22.999-05:00,-0.221179,-0.971180,-0.031548,2025-03-27T21:29:22.613-05:00,-0.168149,0.079656,-0.483598,2025-03-27T21:29:22.610-05:00
10.000000,255.897330,1.825585,13.842769,44.934284,283.307329,90.358215,2.014308,3.000000,-93.176038,10.679297,2025-03-27T21:29:23.999-05:00,-0.228910,-0.974451,-0.038255,2025-03-27T21:29:23.608-05:00,-0.229601,0.043375,-0.481813,2025-03-27T21:29:23.615-05:00
11.000000,255.838892,1.845403,13.950841,44.934283,283.248892,90.199402,2.007942,3.000000,-93.175902,10.718169,2025-03-27T21:29:24.999-05:00,-0.225229,-0.971798,-0.039044,2025-03-27T21:29:24.612-05:00,-0.244879,0.062806,-0.473544,2025-03-27T21:29:24.610-05:00
12.000000,255.961310,1.823352,13.787000,44.934285,283.371310,90.199402,2.108385,3.000000,-93.175767,10.714528,2025-03-27T21:29:25.999-05:00,-0.218832,-0.974100,-0.039899,2025-03-27T21:29:25.617-05:00,-0.234631,0.084044,-0.405771,2025-03-27T21:29:25.615-05:00
13.000000,256.093681,1.823039,13.757541,44.934284,283.503681,90.199402,2.159407,3.000000,-93.175632,10.733725,2025-03-27T21:29:26.999-05:00,-0.212338,-0.973898,-0.041684,2025-03-27T21:29:26.612-05:00,-0.142782,0.049366,-0.389535,2025-03-27T21:29:26.610-05:00
14.000000,256.208652,1.804957,13.531082,44.934284,283.618652,90.199402,2.088262,3.000000,-93.175495,10.804800,2025-03-27T21:29:27.999-05:00,-0.216204,-0.977613,-0.038772,2025-03-27T21:29:27.617-05:00,-0.186192,0.035036,-0.351849,2025-03-27T21:29:27.614-05:00
15.000000,256.313743,1.812781,13.331631,44.934279,283.723743,90.199402,2.048584,3.000000,-93.175354,11.007734,2025-03-27T21:29:28.999-05:00,-0.213466,-0.971548,-0.034042,2025-03-27T21:29:28.612-05:00,-0.151568,0.086733,-0.275852,2025-03-27T21:29:28.609-05:00
16.000000,256.364131,1.804348,13.193396,44.934279,283.774131,90.199402,2.455058,3.000000,-93.175214,11.081157,2025-03-27T21:29:29.999-05:00,-0.214379,-0.974037,-0.035873,2025-03-27T21:29:29.617-05:00,-0.140822,0.060825,-0.248238,2025-03-27T21:29:29.614-05:00
17.000000,256.346046,1.807549,13.081260,44.934279,283.756046,90.000000,2.248208,3.000000,-93.175072,11.196391,2025-03-27T21:29:30.999-05:00,-0.211084,-0.980301,-0.039964,2025-03-27T21:29:30.611-05:00,-0.113148,-0.007609,-0.233861,2025-03-27T21:29:30.609-05:00
18.000000,256.409004,1.805458,12.943168,44.934279,283.819004,90.408150,2.221042,3.000000,-93.174928,11.301455,2025-03-27T21:29:31.999-05:00,-0.212484,-0.967668,-0.032304,2025-03-27T21:29:31.616-05:00,-0.142128,0.129954,-0.195668,2025-03-27T21:29:31.614-05:00
19.000000,256.328894,1.799104,12.775202,44.934279,283.738894,90.408150,2.520537,3.000000,-93.174784,11.410555,2025-03-27T21:29:32.999-05:00,-0.216970,-0.968906,-0.040902,2025-03-27T21:29:32.611-05:00,-0.100168,0.077696,-0.198890,2025-03-27T21:29:32.609-05:00
20.000000,256.344609,1.793154,12.554273,44.934278,283.754609,90.408150,2.277559,3.000000,-93.174635,11.573406,2025-03-27T21:29:33.999-05:00,-0.240575,-0.981544,-0.031283,2025-03-27T21:29:33.616-05:00,-0.288776,-0.035356,-0.245177,2025-03-27T21:29:33.613-05:00
21.000000,256.281978,1.791847,12.528198,44.934281,283.691978,90.231773,2.148572,3.000000,-93.174489,11.589099,2025-03-27T21:29:34.999-05:00,-0.246116,-0.971261,-0.018512,2025-03-27T21:29:34.611-05:00,-0.390479,0.065973,-0.169533,2025-03-27T21:29:34.608-05:00
22.000000,256.298948,1.796009,12.676432,44.934281,283.708948,90.231773,2.079214,3.000000,-93.174343,11.479652,2025-03-27T21:29:35.999-05:00,-0.246233,-0.967228,-0.020385,2025-03-27T21:29:35.616-05:00,-0.376273,0.111907,-0.120357,2025-03-27T21:29:35.613-05:00
23.000000,256.506782,1.781197,12.757942,44.934283,283.916782,90.231773,2.042684,3.000000,-93.174201,11.312019,2025-03-27T21:29:36.999-05:00,-0.243571,-0.968696,-0.030054,2025-03-27T21:29:36.610-05:00,-0.349223,0.094523,-0.167592,2025-03-27T21:29:36.608-05:00
24.000000,256.605398,1.812615,13.149216,44.934279,284.015398,90.231773,2.023035,3.000000,-93.174060,11.168470,2025-03-27T21:29:37.999-05:00,-0.236749,-0.973059,-0.050969,2025-03-27T21:29:37.615-05:00,-0.273321,0.037964,-0.294437,2025-03-27T21:29:37.613-05:00
25.000000,256.587396,1.809608,13.283254,44.934278,283.997396,90.231773,2.012480,3.000000,-93.173919,11.037579,2025-03-27T21:29:38.999-05:00,-0.241490,-0.970589,-0.039450,2025-03-27T21:29:38.610-05:00,-0.308245,0.065227,-0.219071,2025-03-27T21:29:38.608-05:00
26.000000,256.588312,1.822530,13.568633,44.934278,283.998312,90.231773,2.006825,3.000000,-93.173782,10.871811,2025-03-27T21:29:39.999-05:00,-0.238440,-0.971118,-0.042571,2025-03-27T21:29:39.615-05:00,-0.241360,0.057941,-0.220667,2025-03-27T21:29:39.612-05:00
