seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,264.110617,2.211474,33.719659,44.934382,291.520617,17.334361,3.126438,3.000000,-93.166987,5.314064,2025-03-27T21:31:17.999-05:00,-0.154320,-0.994542,0.082805,2025-03-27T21:31:17.609-05:00,0.538725,-0.167304,0.915193,2025-03-27T21:31:17.616-05:00
1.000000,264.117788,2.091442,26.292430,44.934445,291.527788,2.278557,3.070117,3.000000,-93.166993,6.442196,2025-03-27T21:31:18.999-05:00,-0.117168,-0.999009,-0.009803,2025-03-27T21:31:18.593-05:00,0.830835,-0.193222,0.120829,2025-03-27T21:31:18.601-05:00
2.000000,264.218154,1.999888,21.152829,44.934517,291.628153,0.150172,2.959500,3.000000,-93.166995,7.647515,2025-03-27T21:31:19.999-05:00,-0.107656,-1.002405,-0.005443,2025-03-27T21:31:19.598-05:00,0.870978,-0.218933,0.158766,2025-03-27T21:31:19.596-05:00
3.000000,264.103520,1.920936,17.516861,44.934598,291.513520,0.150172,2.780809,3.000000,-93.166995,8.876175,2025-03-27T21:31:20.999-05:00,-0.136710,-0.999201,-0.014671,2025-03-27T21:31:20.593-05:00,0.547153,-0.179241,0.046050,2025-03-27T21:31:20.601-05:00
4.000000,264.153053,1.865864,15.153192,44.934688,291.563053,359.502319,2.541348,3.000000,-93.166994,9.943062,2025-03-27T21:31:21.999-05:00,-0.176040,-0.983224,-0.016795,2025-03-27T21:31:21.598-05:00,0.163838,-0.021534,-0.034429,2025-03-27T21:31:21.595-05:00
5.000000,264.150699,1.853407,14.221977,44.934783,291.560699,0.000000,2.329237,3.000000,-93.166994,10.502352,2025-03-27T21:31:22.999-05:00,-0.174939,-0.987721,-0.010437,2025-03-27T21:31:22.593-05:00,0.139282,-0.052010,-0.053252,2025-03-27T21:31:22.600-05:00
6.000000,263.912453,0.314717,7.256174,44.934882,291.322453,0.000000,2.524113,3.000000,-93.166993,11.110681,2025-03-27T21:31:23.999-05:00,-0.175600,-0.985733,-0.004830,2025-03-27T21:31:23.598-05:00,0.122677,-0.044446,-0.024013,2025-03-27T21:31:23.595-05:00
7.000000,263.787531,0.324917,7.257863,44.934986,291.197531,0.000000,2.464354,3.000000,-93.166993,11.597345,2025-03-27T21:31:24.999-05:00,-0.179691,-0.988699,-0.007287,2025-03-27T21:31:24.602-05:00,0.053097,-0.050381,-0.045027,2025-03-27T21:31:24.600-05:00
8.000000,263.670003,0.325446,7.258509,44.935094,291.080003,0.000000,2.265958,3.000000,-93.166992,12.069863,2025-03-27T21:31:25.999-05:00,-0.183141,-0.976875,-0.008845,2025-03-27T21:31:25.597-05:00,0.002626,0.062376,-0.022746,2025-03-27T21:31:25.595-05:00
9.000000,263.664427,0.325891,7.258603,44.935205,291.074427,0.000000,2.286760,3.000000,-93.166993,12.488257,2025-03-27T21:31:26.999-05:00,-0.209849,-0.975409,-0.019467,2025-03-27T21:31:26.602-05:00,-0.261634,0.073189,-0.152566,2025-03-27T21:31:26.600-05:00
10.000000,263.582611,0.316412,7.258875,44.935319,290.992611,0.000000,2.147135,3.000000,-93.166993,12.689661,2025-03-27T21:31:27.999-05:00,-0.230865,-0.982234,-0.004549,2025-03-27T21:31:27.597-05:00,-0.438710,-0.008031,-0.117060,2025-03-27T21:31:27.594-05:00
11.000000,263.629711,0.317408,7.258756,44.935434,291.039711,0.000000,2.134965,3.000000,-93.166994,12.783617,2025-03-27T21:31:28.999-05:00,-0.221634,-0.971882,-0.011644,2025-03-27T21:31:28.602-05:00,-0.380604,0.112924,-0.150196,2025-03-27T21:31:28.599-05:00
12.000000,263.690812,0.311471,7.258932,44.935550,291.100812,0.000000,2.068150,3.000000,-93.166994,12.857824,2025-03-27T21:31:29.999-05:00,-0.208222,-0.973308,-0.013292,2025-03-27T21:31:29.597-05:00,-0.273394,0.104181,-0.140400,2025-03-27T21:31:29.594-05:00
13.000000,263.769596,0.311943,7.258927,44.935668,291.179596,0.000000,2.034167,3.000000,-93.166995,13.062414,2025-03-27T21:31:30.999-05:00,-0.204162,-0.972552,-0.011687,2025-03-27T21:31:30.601-05:00,-0.231655,0.108880,-0.109848,2025-03-27T21:31:30.599-05:00
14.000000,263.871968,0.310116,7.258968,44.935787,291.281968,0.230503,2.017061,3.000000,-93.166995,13.314537,2025-03-27T21:31:31.999-05:00,-0.208590,-0.993021,-0.010172,2025-03-27T21:31:31.596-05:00,-0.249427,-0.086718,-0.076676,2025-03-27T21:31:31.594-05:00
15.000000,263.924303,0.316475,7.258897,44.935907,291.334303,0.230503,2.008478,3.000000,-93.166995,13.438977,2025-03-27T21:31:32.999-05:00,-0.207946,-0.971039,-0.023559,2025-03-27T21:31:32.601-05:00,-0.271240,0.114909,-0.059076,2025-03-27T21:31:32.599-05:00
