seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,259.974815,-1.000000,-1.000000,44.941526,287.384815,-1.000000,26.241531,29.999976,-93.167100,-1.000000,2025-03-27T21:18:10.396-05:00,-0.164366,-0.966370,-0.022530,2025-03-27T21:18:10.394-05:00,0.536530,0.076427,0.104130,2025-03-27T21:18:10.417-05:00
1.000000,,,,,,,,,,,,-0.202868,-0.976226,-0.029268,2025-03-27T21:18:11.389-05:00,0.299885,-0.037396,-0.004546,2025-03-27T21:18:11.382-05:00
2.000000,,,,,,,,,,,,-0.205605,-0.984452,-0.013515,2025-03-27T21:18:12.384-05:00,0.200783,-0.102260,0.021412,2025-03-27T21:18:12.386-05:00
3.000000,258.058105,1.390000,10.102564,44.941501,285.468105,272.109375,14.000000,4.000000,-93.167547,8.950000,2025-03-27T21:18:14.193-05:00,-0.198702,-0.971313,-0.006274,2025-03-27T21:18:13.388-05:00,0.279737,0.020882,0.081235,2025-03-27T21:18:13.381-05:00
4.000000,260.119812,0.640000,4.099401,44.941488,287.529812,270.351562,4.403571,3.000000,-93.167676,10.080000,2025-03-27T21:18:15.190-05:00,-0.195907,-0.986510,-0.007976,2025-03-27T21:18:14.383-05:00,0.252144,-0.105606,0.065843,2025-03-27T21:18:14.386-05:00
5.000000,259.286865,0.600000,3.612075,44.941480,286.696865,267.890625,4.730385,3.000000,-93.167803,10.080000,2025-03-27T21:18:16.190-05:00,-0.204553,-0.969528,-0.011592,2025-03-27T21:18:15.388-05:00,0.133187,0.054512,0.030092,2025-03-27T21:18:15.380-05:00
6.000000,259.554810,0.660000,3.760399,44.941514,286.964809,269.648438,5.504186,3.000000,-93.167908,10.780000,2025-03-27T21:18:17.195-05:00,-0.215091,-0.979986,-0.017143,2025-03-27T21:18:16.382-05:00,0.035103,-0.046247,-0.002858,2025-03-27T21:18:16.385-05:00
7.000000,259.174072,1.160000,6.342981,44.941526,286.584072,271.757812,5.931837,3.000000,-93.168073,11.880000,2025-03-27T21:18:18.195-05:00,-0.215066,-0.971780,-0.032537,2025-03-27T21:18:17.387-05:00,-0.029535,0.052865,-0.091772,2025-03-27T21:18:17.380-05:00
8.000000,258.711304,0.530000,2.753842,44.941518,286.121304,270.000000,4.553215,3.000000,-93.168249,12.470000,2025-03-27T21:18:19.195-05:00,-0.232007,-0.969208,-0.030946,2025-03-27T21:18:18.382-05:00,-0.163689,0.069096,-0.072844,2025-03-27T21:18:18.384-05:00
9.000000,258.361450,0.510000,2.602578,44.941489,285.771450,269.296875,3.950822,3.000000,-93.168439,12.470000,2025-03-27T21:18:20.177-05:00,-0.248295,-0.967197,-0.031152,2025-03-27T21:18:19.386-05:00,-0.331382,0.090421,-0.055424,2025-03-27T21:18:19.389-05:00
10.000000,257.881042,1.050000,4.398601,44.941501,285.291042,268.945312,3.535534,3.000000,-93.168543,12.720000,2025-03-27T21:18:20.978-05:00,-0.253831,-0.966461,-0.035856,2025-03-27T21:18:20.381-05:00,-0.387943,0.096783,-0.068589,2025-03-27T21:18:20.384-05:00
11.000000,257.748108,0.830000,4.027744,44.941505,285.158108,268.593750,3.535534,3.000000,-93.168715,12.970000,2025-03-27T21:18:21.979-05:00,-0.256505,-0.960488,-0.043059,2025-03-27T21:18:21.386-05:00,-0.414859,0.154800,-0.114118,2025-03-27T21:18:21.388-05:00
12.000000,257.646362,1.650000,6.345953,44.941505,285.056362,268.242188,3.535534,3.000000,-93.168884,13.040000,2025-03-27T21:18:22.980-05:00,-0.262664,-0.982496,-0.046420,2025-03-27T21:18:22.381-05:00,-0.493909,-0.056803,-0.210589,2025-03-27T21:18:22.383-05:00
13.000000,257.889526,0.950000,3.918885,44.941511,285.299526,270.000000,3.535534,3.000000,-93.169061,13.470000,2025-03-27T21:18:23.982-05:00,-0.253983,-0.970295,-0.039778,2025-03-27T21:18:23.385-05:00,-0.474302,0.077479,-0.117507,2025-03-27T21:18:23.388-05:00
14.000000,257.501465,1.220000,5.126046,44.941511,284.911465,270.351562,3.535534,3.000000,-93.169231,13.040000,2025-03-27T21:18:24.983-05:00,-0.254756,-0.971790,-0.039471,2025-03-27T21:18:24.380-05:00,-0.435803,0.055834,-0.141104,2025-03-27T21:18:24.382-05:00
