seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,257.970093,0.860000,9.642911,44.941737,285.380093,262.617188,3.535534,3.000000,-93.167233,4.100000,2025-02-19T15:56:44.000-06:00,-0.204106,-0.961466,-0.225410,2025-02-19T15:56:43.447-06:00,0.069299,0.107145,-1.235475,2025-02-19T15:56:43.456-06:00
1.000000,258.154602,0.390000,5.103960,44.941741,285.564602,282.304688,3.535534,3.000000,-93.167282,5.050000,2025-02-19T15:56:45.000-06:00,-0.120783,-0.980442,-0.073909,2025-02-19T15:56:44.432-06:00,0.996203,-0.098362,0.193463,2025-02-19T15:56:44.431-06:00
2.000000,257.852295,0.340000,3.674152,44.941701,285.262295,270.292664,3.535534,3.000000,-93.167356,6.030000,2025-02-19T15:56:46.000-06:00,-0.163022,-0.969356,-0.077407,2025-02-19T15:56:45.437-06:00,0.530557,0.013383,0.220299,2025-02-19T15:56:45.435-06:00
3.000000,257.853149,0.170000,1.612806,44.941701,285.263149,270.292664,3.535534,3.000000,-93.167434,6.030000,2025-02-19T15:56:47.000-06:00,-0.213266,-0.978290,-0.092458,2025-02-19T15:56:46.431-06:00,-0.027834,-0.058039,0.120146,2025-02-19T15:56:46.440-06:00
4.000000,257.955078,0.320000,3.007018,44.941702,285.365078,270.292664,3.535534,3.000000,-93.167518,6.850000,2025-02-19T15:56:48.000-06:00,-0.190672,-0.989149,-0.077463,2025-02-19T15:56:47.436-06:00,0.073167,-0.127396,0.214088,2025-02-19T15:56:47.435-06:00
5.000000,258.473877,0.160000,1.475524,44.941702,285.883877,270.292664,3.535534,3.000000,-93.167606,6.980000,2025-02-19T15:56:49.000-06:00,-0.193145,-0.973762,-0.068835,2025-02-19T15:56:48.431-06:00,-0.003560,0.014808,0.188465,2025-02-19T15:56:48.440-06:00
6.000000,258.423706,0.670000,5.616803,44.941702,285.833706,270.292664,3.535534,3.000000,-93.167701,7.800000,2025-02-19T15:56:50.000-06:00,-0.193517,-0.979921,-0.070962,2025-02-19T15:56:49.436-06:00,-0.025407,-0.020613,0.166702,2025-02-19T15:56:49.434-06:00
7.000000,258.317627,0.120000,1.000533,44.941703,285.727627,270.292664,3.535534,3.000000,-93.167801,8.250000,2025-02-19T15:56:51.000-06:00,-0.210079,-0.973243,-0.068458,2025-02-19T15:56:50.440-06:00,-0.200925,0.039473,0.237330,2025-02-19T15:56:50.439-06:00
8.000000,258.271484,0.100000,0.810777,44.941703,285.681484,270.292664,3.535534,3.000000,-93.167907,8.250000,2025-02-19T15:56:52.000-06:00,-0.220928,-0.968296,-0.085989,2025-02-19T15:56:51.435-06:00,-0.329632,0.103607,0.097662,2025-02-19T15:56:51.434-06:00
9.000000,258.296631,0.090000,0.702870,44.941716,285.706631,270.292664,3.535534,3.000000,-93.168015,8.390000,2025-02-19T15:56:53.000-06:00,-0.205146,-0.961218,-0.079042,2025-02-19T15:56:52.440-06:00,-0.172186,0.148028,0.177016,2025-02-19T15:56:52.439-06:00
10.000000,258.296636,0.308016,7.258975,44.941716,285.706636,270.234100,4.748652,4.029364,-93.168121,8.390000,2025-02-19T15:56:54.000-06:00,-0.213395,-0.976813,-0.073076,2025-02-19T15:56:53.435-06:00,-0.257445,0.013583,0.188520,2025-02-19T15:56:53.433-06:00
11.000000,258.349981,0.308016,7.258975,44.941714,285.759981,270.234100,4.748652,4.029364,-93.168237,8.570000,2025-02-19T15:56:55.000-06:00,-0.235164,-0.968314,-0.067050,2025-02-19T15:56:54.439-06:00,-0.378206,0.089720,0.099755,2025-02-19T15:56:54.438-06:00
