seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,263.234357,0.573597,14.359757,44.940060,290.644357,350.701149,3.410361,3.000000,-93.167066,3.664437,2025-02-19T15:33:02.999-06:00,0.073046,-1.001994,0.097054,2025-02-19T15:33:02.283-06:00,0.433500,-0.044268,1.477102,2025-02-19T15:33:02.293-06:00
1.000000,263.072193,0.669227,12.359335,44.940091,290.482193,331.520855,3.339843,3.000000,-93.167100,4.959039,2025-02-19T15:33:03.999-06:00,0.051026,-1.003656,0.122786,2025-02-19T15:33:03.268-06:00,0.257980,-0.050051,1.690021,2025-02-19T15:33:03.268-06:00
2.000000,262.862854,0.602625,9.578099,44.940114,290.272854,311.032826,3.272850,3.000000,-93.167157,5.908606,2025-02-19T15:33:04.999-06:00,0.060521,-0.991752,0.143510,2025-02-19T15:33:04.263-06:00,0.321861,0.074909,1.802677,2025-02-19T15:33:04.263-06:00
3.000000,262.684312,0.535055,7.408208,44.940127,290.094312,293.620387,3.209208,3.000000,-93.167234,6.553175,2025-02-19T15:33:05.999-06:00,0.022580,-1.011397,0.062477,2025-02-19T15:33:05.268-06:00,-0.121513,-0.128686,0.847041,2025-02-19T15:33:05.268-06:00
4.000000,262.570493,0.264584,6.892705,44.940135,289.980492,285.360472,3.285033,3.000000,-93.167324,6.884915,2025-02-19T15:33:06.999-06:00,-0.032695,-0.994562,-0.010035,2025-02-19T15:33:06.263-06:00,-0.645330,0.047063,0.109319,2025-02-19T15:33:06.263-06:00
5.000000,262.563734,0.301659,7.171545,44.940134,289.973734,280.263225,3.166963,3.000000,-93.167410,6.525798,2025-02-19T15:33:07.999-06:00,-0.041094,-1.001172,-0.032211,2025-02-19T15:33:07.267-06:00,-0.757085,-0.020143,-0.160492,2025-02-19T15:33:07.267-06:00
6.000000,262.524394,0.307405,7.228009,44.940134,289.934394,277.666855,3.337875,3.000000,-93.167493,6.370381,2025-02-19T15:33:08.999-06:00,-0.025572,-0.991024,-0.040962,2025-02-19T15:33:08.262-06:00,-0.571702,0.081390,-0.179243,2025-02-19T15:33:08.262-06:00
7.000000,262.373092,0.306990,7.235102,44.940133,289.783092,275.799251,3.267033,3.000000,-93.167573,6.216159,2025-02-19T15:33:09.999-06:00,-0.067563,-1.000340,-0.047627,2025-02-19T15:33:09.267-06:00,-0.932806,-0.011444,-0.281630,2025-02-19T15:33:09.267-06:00
8.000000,262.301751,0.292965,7.205730,44.940131,289.711751,274.557369,3.294077,3.000000,-93.167642,5.336929,2025-02-19T15:33:10.999-06:00,-0.179799,-0.996140,-0.088869,2025-02-19T15:33:10.262-06:00,-1.977091,0.034424,-0.652549,2025-02-19T15:33:10.262-06:00
9.000000,262.205787,0.269839,8.927431,44.940128,289.615787,273.895924,3.132317,3.000000,-93.167685,3.619729,2025-02-19T15:33:11.999-06:00,-0.170507,-0.995579,-0.089533,2025-02-19T15:33:11.266-06:00,-1.770751,0.039480,-0.633441,2025-02-19T15:33:11.266-06:00
