seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,255.227521,3.767916,180.000000,44.934362,282.637521,179.916322,2.671471,3.000000,-93.177233,0.541760,2025-02-19T15:29:41.999-06:00,0.100377,-0.996290,-0.039515,2025-02-19T15:29:41.316-06:00,0.761078,0.012008,0.259811,2025-02-19T15:29:41.316-06:00
1.000000,255.271317,3.751065,180.000000,44.934350,282.681317,179.916321,2.711143,3.000000,-93.177234,1.196408,2025-02-19T15:29:42.999-06:00,0.183777,-1.000476,0.075605,2025-02-19T15:29:42.311-06:00,1.482441,-0.026933,1.310194,2025-02-19T15:29:42.311-06:00
2.000000,255.448572,2.517960,71.581571,44.934320,282.858572,169.257764,2.688402,3.000000,-93.177225,2.842865,2025-02-19T15:29:43.999-06:00,0.057611,-1.005995,0.127460,2025-02-19T15:29:43.306-06:00,0.221797,-0.076367,1.773767,2025-02-19T15:29:43.306-06:00
3.000000,255.223045,2.373944,51.848032,44.934287,282.633045,156.456618,2.653982,3.000000,-93.177198,3.709899,2025-02-19T15:29:44.999-06:00,-0.003179,-0.998827,0.169571,2025-02-19T15:29:44.311-06:00,-0.314240,-0.001977,2.091748,2025-02-19T15:29:44.311-06:00
4.000000,255.136795,2.303630,42.345690,44.934267,282.546795,129.409080,2.654040,3.000000,-93.177138,4.394224,2025-02-19T15:29:45.999-06:00,0.025378,-1.010745,0.160534,2025-02-19T15:29:45.305-06:00,-0.094397,-0.116612,1.758012,2025-02-19T15:29:45.305-06:00
5.000000,255.138313,2.177840,31.571613,44.934267,282.548313,99.743365,2.621338,3.000000,-93.177052,5.589183,2025-02-19T15:29:46.999-06:00,0.085681,-0.982556,0.040730,2025-02-19T15:29:46.310-06:00,0.338873,0.153402,0.500965,2025-02-19T15:29:46.310-06:00
6.000000,255.196506,2.084953,25.770198,44.934274,282.606506,89.938284,2.584555,3.000000,-93.176963,6.550538,2025-02-19T15:29:47.999-06:00,0.126016,-1.012257,-0.014608,2025-02-19T15:29:47.305-06:00,0.596887,-0.138460,-0.004652,2025-02-19T15:29:47.305-06:00
7.000000,255.138944,1.996624,21.803693,44.934276,282.548944,89.454370,2.534007,3.000000,-93.176866,7.419175,2025-02-19T15:29:48.999-06:00,0.115849,-0.989905,-0.011979,2025-02-19T15:29:48.310-06:00,0.393778,0.072477,-0.013532,2025-02-19T15:29:48.310-06:00
8.000000,255.055051,1.934788,18.713948,44.934275,282.465051,89.812987,2.624585,3.000000,-93.176756,8.362451,2025-02-19T15:29:49.999-06:00,0.104988,-0.995470,-0.019941,2025-02-19T15:29:49.304-06:00,0.251866,0.010260,-0.064451,2025-02-19T15:29:49.304-06:00
9.000000,255.130591,1.874044,16.441074,44.934275,282.540591,90.032598,2.495490,3.000000,-93.176634,9.228869,2025-02-19T15:29:50.999-06:00,0.099784,-1.000254,-0.025760,2025-02-19T15:29:50.309-06:00,0.156927,-0.034938,-0.103435,2025-02-19T15:29:50.309-06:00
10.000000,255.159443,1.844471,15.034960,44.934276,282.569443,90.045514,2.312564,3.000000,-93.176506,9.938248,2025-02-19T15:29:51.999-06:00,0.097152,-0.991272,-0.029045,2025-02-19T15:29:51.304-06:00,0.098205,0.046067,-0.142886,2025-02-19T15:29:51.304-06:00
11.000000,255.177439,1.844915,14.103491,44.934275,282.587439,90.210290,2.189206,3.000000,-93.176370,10.599536,2025-02-19T15:29:52.999-06:00,0.075511,-1.000172,-0.039894,2025-02-19T15:29:52.309-06:00,-0.127523,-0.043365,-0.193345,2025-02-19T15:29:52.309-06:00
12.000000,255.255919,1.816482,13.329609,44.934275,282.665919,90.136343,2.462981,3.000000,-93.176229,11.025657,2025-02-19T15:29:53.999-06:00,0.080990,-1.001517,-0.031110,2025-02-19T15:29:53.304-06:00,-0.085469,-0.057702,-0.115223,2025-02-19T15:29:53.304-06:00
13.000000,255.655604,1.808213,12.662095,44.934272,283.065604,90.707610,2.877935,3.000000,-93.176079,11.570563,2025-02-19T15:29:54.999-06:00,0.073690,-0.985846,-0.030428,2025-02-19T15:29:54.308-06:00,-0.134699,0.100485,-0.101582,2025-02-19T15:29:54.308-06:00
14.000000,255.777181,1.778231,12.055301,44.934274,283.187181,90.237170,2.471592,3.000000,-93.175929,11.951823,2025-02-19T15:29:55.999-06:00,0.032990,-1.000835,-0.050247,2025-02-19T15:29:55.303-06:00,-0.520528,-0.051577,-0.212868,2025-02-19T15:29:55.303-06:00
15.000000,256.089576,1.780167,12.054728,44.934274,283.499576,90.086342,2.248158,3.000000,-93.175778,11.963784,2025-02-19T15:29:56.999-06:00,0.042029,-0.991868,-0.051234,2025-02-19T15:29:56.308-06:00,-0.427331,0.046091,-0.199558,2025-02-19T15:29:56.308-06:00
16.000000,256.316328,1.757039,11.774512,44.934275,283.726328,89.942006,2.319356,3.000000,-93.175624,12.089543,2025-02-19T15:29:57.999-06:00,0.044575,-0.991347,-0.064670,2025-02-19T15:29:57.303-06:00,-0.379399,0.040821,-0.314952,2025-02-19T15:29:57.303-06:00
17.000000,256.453687,1.791536,12.163231,44.934284,283.863687,88.860436,3.576456,3.000000,-93.175478,11.933007,2025-02-19T15:29:58.999-06:00,0.028687,-1.001589,-0.055356,2025-02-19T15:29:58.307-06:00,-0.503054,-0.053253,-0.221652,2025-02-19T15:29:58.307-06:00
18.000000,256.581164,1.773507,12.018640,44.934285,283.991164,88.835490,3.696403,3.000000,-93.175324,11.953697,2025-02-19T15:29:59.999-06:00,0.037623,-0.988971,-0.066771,2025-02-19T15:29:59.312-06:00,-0.389207,0.073736,-0.347672,2025-02-19T15:29:59.312-06:00
19.000000,256.648484,1.777358,11.903532,44.934280,284.058484,90.336681,3.338835,3.000000,-93.175165,12.096759,2025-02-19T15:30:00.999-06:00,0.034043,-0.999743,-0.054149,2025-02-19T15:30:00.307-06:00,-0.382163,-0.027056,-0.182199,2025-02-19T15:30:00.307-06:00
20.000000,256.593383,1.780071,11.781920,44.934278,284.003383,90.606633,2.902184,3.000000,-93.175006,12.240398,2025-02-19T15:30:01.999-06:00,0.039718,-0.995226,-0.050734,2025-02-19T15:30:01.312-06:00,-0.339003,0.010889,-0.126669,2025-02-19T15:30:01.312-06:00
21.000000,256.628228,1.789233,11.704319,44.934275,284.038227,90.763379,2.474007,3.000000,-93.174848,12.385346,2025-02-19T15:30:02.999-06:00,0.049528,-0.995480,-0.048292,2025-02-19T15:30:02.306-06:00,-0.218181,0.006253,-0.091581,2025-02-19T15:30:02.306-06:00
22.000000,256.617221,1.760709,11.352752,44.934275,284.027221,90.687154,2.579059,3.000000,-93.174688,12.566505,2025-02-19T15:30:03.999-06:00,0.045923,-0.984889,-0.045197,2025-02-19T15:30:03.311-06:00,-0.149420,0.124813,-0.042862,2025-02-19T15:30:03.311-06:00
23.000000,256.498324,1.752309,11.066107,44.934275,283.908324,90.415471,2.495134,3.000000,-93.174524,12.830778,2025-02-19T15:30:04.999-06:00,0.043284,-1.008169,-0.024573,2025-02-19T15:30:04.306-06:00,-0.171368,-0.095723,-0.010840,2025-02-19T15:30:04.306-06:00
24.000000,256.658346,1.734661,10.718693,44.934276,284.068346,89.991379,2.247513,3.000000,-93.174356,13.111519,2025-02-19T15:30:05.999-06:00,0.043716,-0.997382,-0.033999,2025-02-19T15:30:05.311-06:00,-0.186334,0.000645,-0.098881,2025-02-19T15:30:05.311-06:00
25.000000,256.750249,1.721664,10.530314,44.934276,284.160249,89.908219,2.123314,3.000000,-93.174188,13.245986,2025-02-19T15:30:06.999-06:00,0.044076,-0.999188,-0.040488,2025-02-19T15:30:06.305-06:00,-0.170780,-0.018849,-0.088385,2025-02-19T15:30:06.305-06:00
26.000000,256.891360,1.736200,10.518171,44.934276,284.301360,90.069261,2.236712,3.000000,-93.174020,13.372394,2025-02-19T15:30:07.999-06:00,0.049693,-0.993691,-0.050737,2025-02-19T15:30:07.310-06:00,-0.138392,0.040034,-0.134109,2025-02-19T15:30:07.310-06:00
