seconds_elapsed,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,location_local_time,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,accelerometerUncalibrated_local_time,accelerometer_z,accelerometer_y,accelerometer_x,accelerometer_local_time
0.000000,258.747313,2.310139,44.934100,44.939993,286.157312,212.949170,2.357121,3.000000,-93.169620,4.139575,2025-02-19T16:03:06.999-06:00,-0.245317,-0.986108,0.084873,2025-02-19T16:03:06.084-06:00,-0.455812,-0.081015,1.430114,2025-02-19T16:03:06.083-06:00
1.000000,258.679986,2.272201,41.393697,44.939950,286.089985,195.023233,2.384744,3.000000,-93.169626,4.441419,2025-02-19T16:03:07.999-06:00,-0.195214,-0.995331,0.041740,2025-02-19T16:03:07.069-06:00,-0.246652,-0.107174,0.855251,2025-02-19T16:03:07.068-06:00
2.000000,258.935502,2.243637,37.140228,44.939903,286.345502,180.151602,2.382780,3.000000,-93.169618,4.878850,2025-02-19T16:03:08.999-06:00,-0.158118,-0.987123,-0.038607,2025-02-19T16:03:08.074-06:00,-0.048983,0.002279,0.004270,2025-02-19T16:03:08.072-06:00
3.000000,258.976028,2.216459,34.345863,44.939854,286.386028,180.000000,2.379188,3.000000,-93.169610,5.209018,2025-02-19T16:03:09.999-06:00,-0.146461,-0.982409,-0.015566,2025-02-19T16:03:09.068-06:00,0.080862,0.046723,0.192682,2025-02-19T16:03:09.067-06:00
4.000000,259.091962,2.143535,28.985879,44.939798,286.501962,180.000000,2.455346,3.000000,-93.169604,5.941655,2025-02-19T16:03:10.999-06:00,-0.114339,-0.994202,-0.074374,2025-02-19T16:03:10.073-06:00,0.312347,-0.065073,-0.248189,2025-02-19T16:03:10.072-06:00
5.000000,259.075322,2.094543,26.117831,44.939740,286.485322,180.000000,2.432642,3.000000,-93.169598,6.483195,2025-02-19T16:03:12.000-06:00,-0.149008,-0.980882,-0.108037,2025-02-19T16:03:11.068-06:00,0.027364,0.068831,-0.591568,2025-02-19T16:03:11.067-06:00
6.000000,259.821748,2.128358,26.429605,44.939685,287.231748,180.000000,2.402249,3.000000,-93.169593,6.313725,2025-02-19T16:03:13.000-06:00,-0.216509,-0.969172,-0.094262,2025-02-19T16:03:12.073-06:00,-0.612466,0.169512,-0.441209,2025-02-19T16:03:12.072-06:00
7.000000,259.643745,2.130887,27.213601,44.939628,287.053745,180.000000,2.402249,3.000000,-93.169592,6.199993,2025-02-19T16:03:14.000-06:00,-0.155721,-0.987143,-0.062656,2025-02-19T16:03:13.068-06:00,0.011393,-0.004455,-0.126516,2025-02-19T16:03:13.066-06:00
8.000000,259.474657,2.080792,24.730029,44.939566,286.884657,180.000000,2.204690,3.000000,-93.169593,6.660328,2025-02-19T16:03:15.000-06:00,-0.134676,-0.987758,-0.058892,2025-02-19T16:03:14.072-06:00,0.231362,-0.017451,-0.069795,2025-02-19T16:03:14.071-06:00
9.000000,259.587821,2.044107,22.325191,44.939499,286.997821,180.000000,2.206691,3.000000,-93.169591,7.251070,2025-02-19T16:03:16.000-06:00,-0.153781,-0.984520,-0.072842,2025-02-19T16:03:15.067-06:00,0.013352,0.016553,-0.162353,2025-02-19T16:03:15.066-06:00
10.000000,259.674076,2.009385,21.507638,44.939430,287.084076,179.512619,2.144222,3.000000,-93.169588,7.457993,2025-02-19T16:03:17.000-06:00,-0.203851,-0.984043,-0.068076,2025-02-19T16:03:16.072-06:00,-0.453969,0.010487,-0.090005,2025-02-19T16:03:16.071-06:00
11.000000,259.885459,2.015523,21.408989,44.939361,287.295459,179.512619,2.099948,3.000000,-93.169585,7.453986,2025-02-19T16:03:18.000-06:00,-0.165172,-0.972113,-0.069925,2025-02-19T16:03:17.067-06:00,-0.122015,0.145717,-0.120865,2025-02-19T16:03:17.075-06:00
12.000000,259.965463,2.026030,20.614189,44.939291,287.375462,179.512619,2.262191,3.000000,-93.169584,7.677113,2025-02-19T16:03:19.000-06:00,-0.168267,-0.980154,-0.071424,2025-02-19T16:03:18.071-06:00,-0.105061,0.051680,-0.119333,2025-02-19T16:03:18.070-06:00
13.000000,260.099567,2.026617,20.313752,44.939219,287.509567,179.512619,2.547822,3.000000,-93.169584,7.815786,2025-02-19T16:03:20.000-06:00,-0.181310,-0.982322,-0.071305,2025-02-19T16:03:19.066-06:00,-0.219464,0.037881,-0.122632,2025-02-19T16:03:19.075-06:00
14.000000,260.219820,2.031075,20.192961,44.939148,287.629820,179.512619,2.373468,3.000000,-93.169585,7.835922,2025-02-19T16:03:21.000-06:00,-0.204549,-0.970818,-0.077266,2025-02-19T16:03:20.071-06:00,-0.413088,0.136259,-0.152184,2025-02-19T16:03:20.070-06:00
15.000000,260.282133,2.009082,21.206080,44.939080,287.692132,180.000000,2.255766,3.000000,-93.169589,7.589601,2025-02-19T16:03:22.000-06:00,-0.223596,-0.970996,-0.078174,2025-02-19T16:03:21.066-06:00,-0.553365,0.125675,-0.155363,2025-02-19T16:03:21.074-06:00
16.000000,260.556999,2.016883,22.192242,44.939013,287.966998,180.000000,2.175493,3.000000,-93.169591,7.260821,2025-02-19T16:03:23.000-06:00,-0.201149,-0.969194,-0.073048,2025-02-19T16:03:22.070-06:00,-0.304403,0.138494,-0.053021,2025-02-19T16:03:22.069-06:00
17.000000,260.526133,2.010951,22.341583,44.938947,287.936133,180.236633,2.248825,3.000000,-93.169591,7.290772,2025-02-19T16:03:24.000-06:00,-0.175906,-0.967670,-0.055835,2025-02-19T16:03:23.075-06:00,0.071783,0.128200,0.052864,2025-02-19T16:03:23.074-06:00
18.000000,260.610744,2.013838,21.544242,44.938879,288.020744,180.236633,2.174826,3.000000,-93.169591,7.487086,2025-02-19T16:03:25.000-06:00,-0.194692,-0.991830,-0.064166,2025-02-19T16:03:24.070-06:00,-0.128065,-0.094140,-0.155713,2025-02-19T16:03:24.069-06:00
19.000000,260.561924,2.001952,21.261852,44.938811,287.971924,180.236633,2.122052,3.000000,-93.169588,7.575557,2025-02-19T16:03:26.000-06:00,-0.190972,-0.984443,-0.054650,2025-02-19T16:03:25.075-06:00,-0.118886,-0.022361,-0.053471,2025-02-19T16:03:25.073-06:00
20.000000,260.513384,1.996478,21.183903,44.938743,287.923384,180.236633,2.093046,3.000000,-93.169588,7.626109,2025-02-19T16:03:27.000-06:00,-0.180398,-0.977365,-0.074839,2025-02-19T16:03:26.070-06:00,-0.014771,0.049169,-0.149954,2025-02-19T16:03:26.068-06:00
21.000000,260.549372,1.989769,20.854907,44.938674,287.959372,180.236633,2.186776,3.000000,-93.169588,7.688402,2025-02-19T16:03:28.000-06:00,-0.209517,-0.982957,-0.069501,2025-02-19T16:03:27.074-06:00,-0.227012,-0.021716,-0.082700,2025-02-19T16:03:27.073-06:00
22.000000,260.729562,1.988924,20.879035,44.938606,288.139562,180.236633,2.129110,3.000000,-93.169589,7.655188,2025-02-19T16:03:29.000-06:00,-0.211012,-0.964921,-0.065172,2025-02-19T16:03:28.069-06:00,-0.320190,0.170839,-0.056983,2025-02-19T16:03:28.068-06:00
23.000000,260.905971,2.015696,21.909213,44.938541,288.315971,180.236633,2.479286,3.000000,-93.169589,7.332959,2025-02-19T16:03:30.000-06:00,-0.256969,-0.958508,-0.079223,2025-02-19T16:03:29.074-06:00,-0.721531,0.219780,-0.184793,2025-02-19T16:03:29.073-06:00
24.000000,260.989427,2.046621,25.112872,44.938482,288.399427,180.236633,2.560874,3.000000,-93.169592,6.597000,2025-02-19T16:03:31.000-06:00,-0.290668,-0.957634,-0.095890,2025-02-19T16:03:30.069-06:00,-0.909064,0.202699,-0.331338,2025-02-19T16:03:30.067-06:00
25.000000,261.225014,2.187402,29.753313,44.938431,288.635014,180.236633,2.409811,3.000000,-93.169596,5.726302,2025-02-19T16:03:32.000-06:00,-0.269998,-0.958512,-0.112212,2025-02-19T16:03:31.073-06:00,-0.795428,0.212684,-0.513782,2025-02-19T16:03:31.072-06:00
26.000000,261.140658,2.236983,36.080072,44.938389,288.550658,180.545914,2.327848,3.000000,-93.169603,4.961673,2025-02-19T16:03:33.000-06:00,-0.204168,-0.972874,-0.195106,2025-02-19T16:03:32.068-06:00,-0.141680,0.061175,-1.190973,2025-02-19T16:03:32.067-06:00
27.000000,261.354646,2.243725,37.620046,44.938349,288.764646,180.545914,2.393151,3.000000,-93.169638,4.796684,2025-02-19T16:03:34.000-06:00,-0.201399,-0.967714,-0.253976,2025-02-19T16:03:33.073-06:00,-0.193822,0.118262,-1.703330,2025-02-19T16:03:33.072-06:00
28.000000,261.278256,2.277203,40.361939,44.938324,288.688256,221.399917,5.293967,3.000000,-93.169625,4.537126,2025-02-19T16:03:35.000-06:00,-0.183604,-0.963585,-0.196343,2025-02-19T16:03:34.068-06:00,-0.152076,0.192777,-1.245855,2025-02-19T16:03:34.066-06:00
29.000000,261.209814,2.301229,42.580911,44.938312,288.619814,240.300277,8.753097,3.000000,-93.169637,4.348663,2025-02-19T16:03:36.000-06:00,-0.150161,-0.981474,-0.124291,2025-02-19T16:03:35.072-06:00,0.158509,0.021493,-0.576771,2025-02-19T16:03:35.071-06:00
30.000000,261.224281,2.266081,40.350497,44.938309,288.634281,267.568451,2.516885,3.000000,-93.169797,4.550450,2025-02-19T16:03:37.000-06:00,-0.162420,-0.962103,-0.111567,2025-02-19T16:03:36.067-06:00,0.203295,0.181627,-0.332526,2025-02-19T16:03:36.066-06:00
31.000000,261.053172,2.214219,34.586493,44.938313,288.463172,269.100006,2.465196,3.000000,-93.169865,5.180739,2025-02-19T16:03:38.000-06:00,-0.106784,-1.008977,-0.053818,2025-02-19T16:03:37.072-06:00,0.699137,-0.280452,0.229277,2025-02-19T16:03:37.071-06:00
32.000000,261.129322,2.107918,27.303726,44.938314,288.539322,269.100006,2.424642,3.000000,-93.169948,6.255595,2025-02-19T16:03:39.000-06:00,-0.141802,-0.995164,-0.052145,2025-02-19T16:03:38.067-06:00,0.185467,-0.116192,0.357216,2025-02-19T16:03:38.075-06:00
33.000000,261.244768,2.043019,24.121670,44.938317,288.654767,269.740295,2.378186,3.000000,-93.170037,6.840597,2025-02-19T16:03:40.000-06:00,-0.186569,-0.976759,-0.035342,2025-02-19T16:03:39.071-06:00,-0.330656,0.072791,0.430156,2025-02-19T16:03:39.070-06:00
34.000000,260.989168,2.046729,23.405169,44.938321,288.399168,269.740295,2.345374,3.000000,-93.170126,7.083959,2025-02-19T16:03:41.000-06:00,-0.192643,-0.987167,-0.016657,2025-02-19T16:03:40.066-06:00,-0.350053,-0.008144,0.465648,2025-02-19T16:03:40.075-06:00
35.000000,260.911031,2.034085,23.145268,44.938321,288.321031,269.740295,2.441075,3.000000,-93.170215,7.105129,2025-02-19T16:03:42.000-06:00,-0.255788,-0.962881,-0.039749,2025-02-19T16:03:41.071-06:00,-0.941005,0.213038,0.232166,2025-02-19T16:03:41.070-06:00
36.000000,260.895497,2.057578,26.000482,44.938325,288.305496,269.740295,2.413877,3.000000,-93.170292,6.399109,2025-02-19T16:03:43.000-06:00,-0.262983,-0.960546,-0.037957,2025-02-19T16:03:42.066-06:00,-0.949294,0.232749,0.232367,2025-02-19T16:03:42.074-06:00
37.000000,260.756016,2.101052,28.537493,44.938325,288.166016,269.740295,2.338098,3.000000,-93.170367,5.963678,2025-02-19T16:03:44.000-06:00,-0.278068,-0.959132,-0.018510,2025-02-19T16:03:43.071-06:00,-1.009449,0.232599,0.440674,2025-02-19T16:03:43.069-06:00
38.000000,260.699949,2.168750,32.543248,44.938322,288.109949,269.740295,2.281250,3.000000,-93.170435,5.395875,2025-02-19T16:03:45.000-06:00,-0.276991,-0.974268,0.025922,2025-02-19T16:03:44.075-06:00,-0.952768,0.083832,0.868123,2025-02-19T16:03:44.074-06:00
39.000000,260.825659,2.215380,36.489991,44.938311,288.235659,269.740295,2.241072,3.000000,-93.170495,4.913793,2025-02-19T16:03:46.000-06:00,-0.267229,-0.963548,0.089952,2025-02-19T16:03:45.070-06:00,-0.882475,0.163708,1.556789,2025-02-19T16:03:45.069-06:00
40.000000,260.707089,2.237891,37.696592,44.938316,288.117088,269.740295,3.892060,3.000000,-93.170546,4.810321,2025-02-19T16:03:47.000-06:00,-0.224405,-0.986786,0.109664,2025-02-19T16:03:46.075-06:00,-0.323753,-0.071341,1.695995,2025-02-19T16:03:46.074-06:00
41.000000,260.661613,2.206813,34.869776,44.938309,288.071613,223.524221,7.546461,3.000000,-93.170586,5.127352,2025-02-19T16:03:48.000-06:00,-0.199032,-0.979921,0.118457,2025-02-19T16:03:47.070-06:00,-0.068563,-0.010114,1.825784,2025-02-19T16:03:47.068-06:00
42.000000,260.615340,2.159560,31.259566,44.938195,288.025340,205.342057,2.208849,3.000000,-93.170609,5.595267,2025-02-19T16:03:49.000-06:00,-0.179891,-0.986090,0.028343,2025-02-19T16:03:48.074-06:00,0.151150,-0.088060,1.087932,2025-02-19T16:03:48.073-06:00
43.000000,260.550299,2.111229,27.732880,44.938137,287.960299,193.292446,2.302484,3.000000,-93.170622,6.168189,2025-02-19T16:03:50.000-06:00,-0.170348,-0.991437,0.002634,2025-02-19T16:03:49.069-06:00,0.104420,-0.107597,0.806209,2025-02-19T16:03:49.068-06:00
44.000000,260.609351,2.074025,25.657965,44.938076,288.019351,187.923625,2.271415,3.000000,-93.170628,6.548182,2025-02-19T16:03:51.000-06:00,-0.214797,-0.983952,-0.056568,2025-02-19T16:03:50.074-06:00,-0.468924,0.003312,0.074500,2025-02-19T16:03:50.073-06:00
45.000000,260.509682,2.100606,27.415440,44.938021,287.919682,183.867142,2.240202,3.000000,-93.170627,6.187560,2025-02-19T16:03:52.000-06:00,-0.279205,-0.957144,-0.100939,2025-02-19T16:03:51.069-06:00,-1.155248,0.270384,-0.352467,2025-02-19T16:03:51.067-06:00
46.000000,260.360559,2.197294,34.942888,44.937978,287.770559,181.404070,2.216182,3.000000,-93.170621,5.087776,2025-02-19T16:03:53.000-06:00,-0.294012,-0.952362,-0.120785,2025-02-19T16:03:52.073-06:00,-1.204782,0.302979,-0.589396,2025-02-19T16:03:52.072-06:00
47.000000,260.165960,2.300588,45.758467,44.937945,287.575960,180.982529,2.199390,3.000000,-93.170619,4.065137,2025-02-19T16:03:54.000-06:00,-0.302793,-0.948417,-0.107936,2025-02-19T16:03:53.068-06:00,-1.170487,0.320437,-0.504626,2025-02-19T16:03:53.067-06:00
48.000000,260.148791,2.439846,63.009239,44.937920,287.558791,180.735087,2.182774,3.000000,-93.170617,3.091146,2025-02-19T16:03:55.000-06:00,-0.284103,-0.956059,-0.106817,2025-02-19T16:03:54.073-06:00,-0.856844,0.225634,-0.433989,2025-02-19T16:03:54.072-06:00
49.000000,260.198911,3.136990,83.607898,44.937905,287.608911,180.460095,2.168714,3.000000,-93.170615,2.105136,2025-02-19T16:03:56.000-06:00,-0.203302,-0.986670,-0.096087,2025-02-19T16:03:55.068-06:00,-0.130830,-0.080112,-0.273011,2025-02-19T16:03:55.066-06:00
